,word,count,len
424,solved,1,6
425,settle,1,6
426,loads,1,5
427,dismally,1,8
428,bonfire,1,7
429,prevent,7,7
430,spiritual,2,9
431,blade,1,5
432,meadow,1,6
433,sigh,4,4
434,sign,9,4
435,rajahs,3,6
436,superstructure,1,14
437,celebrated,1,10
438,melt,1,4
439,current,6,7
440,falling,1,7
441,ground,12,6
442,honour,2,6
443,funeral,2,7
444,plucking,3,8
445,understanding,8,13
446,address,1,7
447,alone,36,5
448,along,20,5
449,shamelessness,1,13
450,brilliant,2,9
451,wherever,1,8
452,studies,1,7
453,concealed,2,9
454,tasks,3,5
455,love,59,4
456,worldliness,1,11
457,prefer,1,6
458,logical,1,7
459,obstinacy,1,9
460,red,14,3
461,crammed,1,7
462,working,3,7
463,angry,14,5
464,tightly,1,7
465,vigour,2,6
466,wondering,4,9
467,scope,1,5
468,loving,5,6
469,afford,3,6
470,apparent,1,8
471,refrain,5,7
472,visual,1,6
473,everywhere,1,10
474,virtue,1,6
475,riders,1,6
476,valued,1,6
477,pretend,2,7
478,believes,1,8
479,flannels,1,8
480,values,1,6
481,believed,4,8
482,mirrors,3,7
483,unveiled,1,8
484,allowed,7,7
485,stole,1,5
486,evidently,1,9
487,uncles,2,6
488,divided,2,7
489,enchantress,1,11
490,slams,1,5
491,elephant,1,8
492,snaps,1,5
493,coming,20,6
494,begging,1,7
495,spot,2,4
496,date,1,4
497,revealed,2,8
498,natural,8,7
499,varieties,1,9
500,conscious,4,9
501,bluster,1,7
502,ordinarily,2,10
503,darkened,2,8
504,so,1,2
505,dreamland,2,9
506,pulled,7,6
507,scents,1,6
508,drunken,2,7
509,privation,3,9
510,differences,2,11
511,years,20,5
512,course,17,6
513,incapacity,1,10
514,quarrelled,1,10
515,deity,3,5
516,tore,2,4
517,limbs,3,5
518,infirmities,1,11
519,torn,5,4
520,troubles,4,8
521,attraction,6,10
522,creations,1,9
523,suspicion,2,9
524,thump,1,5
525,troubled,1,8
526,mused,2,5
527,bashful,1,7
528,indigenous,2,10
529,records,1,7
530,overpowering,1,12
531,epithets,1,8
532,shouted,5,7
533,wrote,1,5
534,establishing,1,12
535,veins,4,5
536,cropping,1,8
537,retrieve,1,8
538,bursting,2,8
539,beloved,8,7
540,owing,1,5
541,mussulmans,10,10
542,flutes,1,6
543,unsoiled,1,8
544,seriously,2,9
545,investigation,2,13
546,jayadeva,1,8
547,ascendant,1,9
548,worthiness,1,10
549,million,1,7
550,possibility,1,11
551,quite,32,5
552,inwardly,7,8
553,intensely,1,9
554,poems,1,5
555,seventy,1,7
556,workmanship,1,11
557,modest,1,6
558,disguises,1,9
559,enkindle,1,8
560,neglect,4,7
561,jumbled,1,7
562,intuition,1,9
563,saving,2,6
564,reveals,1,7
565,spoken,2,6
566,one,209,3
567,open,25,4
568,exaggerations,2,13
569,wrath,5,5
570,bhagavadgita,1,12
571,shiver,1,6
572,begotten,1,8
573,lingering,5,9
574,vapours,1,7
575,shawl,6,5
576,snatch,6,6
577,veers,1,5
578,representing,1,12
579,meteors,2,7
580,folly,1,5
581,future,6,6
582,simmering,1,9
583,wandering,6,9
584,russia,1,6
585,prospect,1,8
586,illness,1,7
587,turned,29,6
588,argument,12,8
589,jewels,23,6
590,sad,1,3
591,say,67,3
592,lurking,2,7
593,saw,28,3
594,sat,14,3
595,knead,2,5
596,downwards,2,9
597,aside,6,5
598,note,5,4
599,take,83,4
600,destroy,8,7
601,opposite,2,8
602,knew,32,4
603,printed,1,7
604,knee,1,4
605,pages,6,5
606,constable,1,9
607,drive,3,5
608,ways,6,4
609,salt,7,4
610,trembled,2,8
611,laws,14,4
612,intoxicate,1,10
613,walking,3,7
614,marshalled,1,10
615,lotus,5,5
616,imagines,1,8
617,merit,5,5
618,bright,1,6
619,aggressive,1,10
620,imagined,2,8
621,belittled,1,9
622,slow,2,4
623,cloak,2,5
624,tears,20,5
625,going,40,5
626,blinds,1,6
627,dispute,1,7
628,guarded,1,7
629,resenting,1,9
630,rejoices,1,8
631,outlet,1,6
632,awaiting,3,8
633,krishna,1,7
634,resource,1,8
635,keenly,1,6
636,artist,2,6
637,absurdly,2,8
638,worried,3,7
639,priest,1,6
640,vision,14,6
641,ghastly,1,7
642,darjeeling,1,10
643,raged,1,5
644,audaciously,1,11
645,overflowed,2,10
646,hastened,2,8
647,aroused,1,7
648,purest,1,6
649,intoxicating,1,12
650,jumped,2,6
651,affecting,1,9
652,pitiless,2,8
653,screen,6,6
654,charmer,1,7
655,adept,1,5
656,spare,2,5
657,jets,1,4
658,spark,1,5
659,suppressed,5,10
660,oust,1,4
661,mans,17,4
662,manu,1,4
663,avoid,3,5
664,many,30,4
665,millionaire,1,11
666,loudly,2,6
667,expression,1,10
668,allowance,2,9
669,loveliest,1,9
670,repulse,1,7
671,twig,1,4
672,boat,11,4
673,caring,1,6
674,companionship,4,13
675,stretch,2,7
676,west,2,4
677,vacation,1,8
678,breath,3,6
679,practised,2,9
680,wants,20,5
681,influence,4,9
682,thousand,54,8
683,formed,1,6
684,abject,1,6
685,former,3,6
686,jute,1,4
687,pettiness,1,9
688,pretence,5,8
689,single,7,6
690,confidently,1,11
691,newspaper,3,9
692,situation,1,9
693,ive,1,3
694,twists,1,6
695,engaged,4,7
696,zamindars,8,9
697,nationalism,1,11
698,lovers,1,6
699,impetuosity,2,11
700,inoffensive,1,11
701,wires,1,5
702,defy,2,4
703,births,1,6
704,edges,1,5
705,amuck,1,5
706,intended,4,8
707,entanglement,1,12
708,banteringly,1,11
709,quarrelsomeness,1,15
710,renunciation,2,12
711,childlike,1,9
712,persistently,1,12
713,summer,1,6
714,exaggerating,1,12
715,slime,3,5
716,rest,14,4
717,slimy,1,5
718,fateful,2,7
719,weekly,1,6
720,retinue,1,7
721,joyful,1,6
722,skies,5,5
723,around,7,6
724,dark,19,4
725,bandage,1,7
726,transcended,1,11
727,world,120,5
728,snare,1,5
729,vague,4,5
730,dare,8,4
731,stranger,2,8
732,schools,1,7
733,[10],1,4
734,clad,2,4
735,undermining,1,11
736,shutter,1,7
737,superiority,2,11
738,clay,1,4
739,obstruct,1,8
740,shirks,1,6
741,pervading,2,9
742,clanged,1,7
743,divine,10,6
744,thinks,2,6
745,scholarships,1,12
746,memories,2,8
747,exit,1,4
748,unsuccessfully,1,14
749,destroys,1,8
750,power,53,5
751,intimate,3,8
752,deliciously,1,11
753,sprung,1,6
754,leadership,1,10
755,stone,4,5
756,industry,3,8
757,meal,6,4
758,act,2,3
759,mean,12,4
760,expectancy,1,10
761,widowed,4,7
762,chivalry,1,8
763,burning,17,7
764,image,20,5
765,ineffable,1,9
766,lively,1,6
767,accumulated,3,11
768,dawned,2,6
769,her,3,3
770,meals,4,5
771,futile,3,6
772,garment,1,7
773,bubble,1,6
774,masquerades,1,11
775,continents,1,10
776,wits,1,4
777,fastings,1,8
778,survived,2,8
779,lampoons,1,8
780,with,3,4
781,buying,1,6
782,handsome,1,8
783,pull,2,4
784,rush,4,4
785,monopoly,1,8
786,flirt,1,5
787,rags,1,4
788,impute,1,6
789,dispensing,1,10
790,agree,4,5
791,darker,2,6
792,gone,27,4
793,gong,3,4
794,fright,1,6
795,gratuitous,1,10
796,exhausted,3,9
797,certain,7,7
798,accents,1,7
799,caustic,1,7
800,fumbling,1,8
801,jargon,1,6
802,tremble,2,7
803,graduate,1,8
804,administers,1,11
805,congress,1,8
806,forgot,2,6
807,gifts,4,5
808,herbs,1,5
809,pitys,1,5
810,sobbing,2,7
811,thorn,1,5
812,mask,1,4
813,mass,1,4
814,sensibility,1,11
815,original,1,8
816,consider,4,8
817,caused,1,6
818,beware,1,6
819,mahadevas,1,9
820,welfare,1,7
821,collyrium,1,9
822,causes,1,6
823,to,6,2
824,tail,2,4
825,chewing,1,7
826,dressing,15,8
827,smile,22,5
828,paying,1,6
829,appointment,1,11
830,returned,8,8
831,swallows,1,8
832,diary,2,5
833,cunningly,1,9
834,mirjan,3,6
835,condition,2,9
836,accompanying,1,12
837,laying,1,6
838,joined,5,6
839,large,6,5
840,sang,2,4
841,small,10,5
842,sank,7,4
843,cash,3,4
844,past,12,4
845,pass,11,4
846,hemanss,1,7
847,destitute,2,9
848,prevailed,1,9
849,whirled,1,7
850,method,2,6
851,revealing,2,9
852,dwells,1,6
853,full,33,4
854,leaping,2,7
855,hours,4,5
856,brutal,1,6
857,social,2,6
858,action,2,6
859,pice,2,4
860,murdering,1,9
861,sweetness,1,9
862,rummaging,1,9
863,depart,3,6
864,vii,3,3
865,follower,2,8
866,beheld,2,6
867,coercion,2,8
868,select,1,6
869,casket,5,6
870,enliven,1,7
871,pears,1,5
872,implore,1,7
873,6,1,1
874,more,3,4
875,door,30,4
876,company,6,7
877,spoilt,1,6
878,corrected,2,9
879,jealousies,1,10
880,rudeness,1,8
881,objections,1,10
882,doom,2,4
883,fleece,1,6
884,fatal,1,5
885,science,5,7
886,thickest,1,8
887,learn,9,5
888,knocked,2,7
889,thako,7,5
890,beautiful,14,9
891,stated,3,6
892,messages,1,8
893,neglected,1,9
894,accept,12,6
895,autumn,5,6
896,fiercely,1,8
897,sense,6,5
898,disliked,1,8
899,dress,6,5
900,sikh,1,4
901,information,1,11
902,dazzle,1,6
903,disconsolate,1,12
904,imminent,1,8
905,fruition,1,8
906,bewailing,1,9
907,cling,1,5
908,creature,4,8
909,waved,1,5
910,wiles,1,5
911,plant,5,5
912,finicking,1,9
913,lanky,1,5
914,plans,2,5
915,mended,1,6
916,plane,1,5
917,waves,3,5
918,declamation,1,11
919,appealed,2,8
920,flutter,1,7
921,refuse,5,6
922,obstreperous,1,12
923,resemble,1,8
924,denude,1,6
925,irreligious,1,11
926,fundamental,2,11
927,helplessly,1,10
928,replied,43,7
929,ito,7,3
930,adorned,1,7
931,bowl,2,4
932,trade,6,5
933,attitude,4,8
934,paper,9,5
935,pang,3,4
936,signs,3,5
937,smiling,1,7
938,roots,4,5
939,imaginings,1,10
940,rapidly,1,7
941,bangle,1,6
942,deeds,1,5
943,followers,4,9
944,travelling,2,10
945,belaud,1,6
946,propose,3,7
947,iridescent,1,10
948,weeds,1,5
949,sucked,1,6
950,repartees,1,9
951,hereafter,2,9
952,always,32,6
953,truths,4,6
954,found,43,5
955,shocking,1,8
956,lantern,1,7
957,begged,2,6
958,upstairs,1,8
959,exorcize,1,8
960,grandmothers,1,12
961,scolding,1,8
962,operation,1,9
963,really,29,6
964,try,26,3
965,missed,2,6
966,misses,1,6
967,expiation,2,9
968,darling,3,7
969,hangers,1,7
970,highway,1,7
971,belief,7,6
972,risen,3,5
973,drifting,2,8
974,murmur,1,6
975,imagine,7,7
976,rises,3,5
977,reproach,1,8
978,looseness,1,9
979,[12],1,4
980,retainer,1,8
981,delicate,2,8
982,gazed,2,5
983,slipped,1,7
984,dumbfounded,1,11
985,number,5,6
986,murmured,2,8
987,ethereal,1,8
988,radhika,2,7
989,guess,1,5
990,heads,6,5
991,guest,8,5
992,threatening,4,11
993,hallowed,1,8
994,saint,1,5
995,xiv,2,3
996,relationship,6,12
997,fasting,1,7
998,lavished,1,8
999,immediate,2,9
1000,chakua,1,6
1001,consult,1,7
1002,rampant,3,7
1003,grace,1,5
1004,determined,2,10
1005,marriage,8,8
1006,revelling,1,9
1007,fights,3,6
1008,beforehand,2,10
1009,sell,10,4
1010,tarnish,1,7
1011,self,20,4
1012,partings,1,8
1013,also,63,4
1014,play,12,4
1015,nasal,1,5
1016,tryst,1,5
1017,confluence,2,10
1018,wedded,1,6
1019,accepting,1,9
1020,understands,1,11
1021,seize,1,5
1022,puja,1,4
1023,sometimes,3,9
1024,cover,5,5
1025,barred,1,6
1026,artistic,1,8
1027,barren,1,6
1028,recks,1,5
1029,dragged,2,7
1030,despise,2,7
1031,gold,24,4
1032,freight,1,7
1033,baneful,1,7
1034,detaining,1,9
1035,writes,1,6
1036,failed,9,6
1037,indifference,1,12
1038,resent,2,6
1039,banner,1,6
1040,enemy,2,5
1041,sleeve,1,6
1042,tumult,1,6
1043,cry,14,3
1044,proclaim,2,8
1045,surrendering,1,12
1046,tottering,2,9
1047,kill,4,4
1048,peasantry,1,9
1049,river,10,5
1050,approaching,2,11
1051,set,34,3
1052,creator,7,7
1053,kalidas,1,7
1054,sex,5,3
1055,slanting,1,8
1056,see,99,3
1057,ravana,1,6
1058,sea,6,3
1059,outward,6,7
1060,knees,1,5
1061,insidiously,1,11
1062,unrealized,1,10
1063,demons,2,6
1064,topmost,1,7
1065,[2],1,3
1066,hauteur,1,7
1067,compliment,1,10
1068,knowing,8,7
1069,hardship,2,8
1070,incident,2,8
1071,last,39,4
1072,hint,1,4
1073,hankers,2,7
1074,connection,3,10
1075,crushing,3,8
1076,lash,1,4
1077,let,115,3
1078,inanity,1,7
1079,whole,56,5
1080,load,3,4
1081,loaf,1,4
1082,bell,1,4
1083,smashing,1,8
1084,community,2,9
1085,hollow,2,6
1086,bimalas,25,7
1087,adjoining,1,9
1088,church,1,6
1089,indefinite,1,10
1090,worthless,1,9
1091,devil,1,5
1092,palace,4,6
1093,acceptance,3,10
1094,instalment,1,10
1095,initiation,1,10
1096,firm,4,4
1097,resting,1,7
1098,champion,1,8
1099,silenced,1,8
1100,fire,37,4
1101,mildness,1,8
1102,dacoity,1,7
1103,fund,1,4
1104,races,1,5
1105,awake,3,5
1106,representative,2,14
1107,towns,1,5
1108,hardness,1,8
1109,caged,1,5
1110,straight,18,8
1111,admire,1,6
1112,forgetting,3,10
1113,extorting,1,9
1114,pressed,5,7
1115,error,1,5
1116,real,32,4
1117,hoping,1,6
1118,vow,9,3
1119,beautifully,1,11
1120,vanish,2,6
1121,chase,1,5
1122,starlight,1,9
1123,choking,1,7
1124,consolations,1,12
1125,seek,10,4
1126,rules,1,5
1127,ledgers,1,7
1128,pecking,1,7
1129,forgiveness,1,11
1130,leapt,2,5
1131,leaps,1,5
1132,necessity,3,9
1133,person,13,6
1134,clasped,4,7
1135,lads,1,4
1136,plagued,1,7
1137,unto,1,4
1138,sandal,1,6
1139,eager,3,5
1140,parents,2,7
1141,crying,5,6
1142,reverted,1,8
1143,surprised,6,9
1144,clutches,3,8
1145,demands,2,7
1146,couple,1,6
1147,wives,2,5
1148,suffering,6,9
1149,quest,6,5
1150,towel,1,5
1151,formal,2,6
1152,imposed,3,7
1153,d,1,1
1154,chorus,1,6
1155,continue,5,8
1156,turvy,1,5
1157,irresistibly,1,12
1158,methods,4,7
1159,spring,3,6
1160,chakravarti,4,11
1161,mighty,4,6
1162,pall,1,4
1163,sight,23,5
1164,fools,1,5
1165,kasim,10,5
1166,curious,8,7
1167,pale,4,4
1168,indigent,1,8
1169,irresistible,3,12
1170,wresting,1,8
1171,staple,1,6
1172,religion,9,8
1173,behave,1,6
1174,welling,2,7
1175,seclusion,2,9
1176,temple,8,6
1177,ba,2,2
1178,chrysanthemums,3,14
1179,obscures,1,8
1180,agreement,1,9
1181,nowhere,4,7
1182,relating,1,8
1183,anything,16,8
1184,reverberated,1,12
1185,exaggerated,2,11
1186,deserves,1,8
1187,repair,1,6
1188,letter,7,6
1189,appropriate,1,11
1190,joking,1,6
1191,eleven,2,6
1192,exposed,1,7
1193,submit,3,6
1194,custom,6,6
1195,occupy,1,6
1196,suit,4,4
1197,considerably,4,12
1198,impudent,1,8
1199,vowing,1,6
1200,line,7,4
1201,peeped,1,6
1202,[14],1,4
1203,us,109,2
1204,slander,1,7
1205,customers,1,9
1206,faded,2,5
1207,medical,1,7
1208,insignia,1,8
1209,nationalist,1,11
1210,raging,5,6
1211,likewise,5,8
1212,unsafe,1,6
1213,surpassing,1,10
1214,brahmins,5,8
1215,chat,1,4
1216,concealment,1,11
1217,phantom,2,7
1218,retrace,1,7
1219,invalid,1,7
1220,definitely,1,10
1221,tars,1,4
1222,sails,1,5
1223,elements,1,8
1224,wrongly,1,7
1225,vantage,1,7
1226,sides,1,5
1227,ago,18,3
1228,land,15,4
1229,reasoned,1,8
1230,rescued,1,7
1231,holes,1,5
1232,walked,5,6
1233,walker,1,6
1234,fresh,7,5
1235,holed,1,5
1236,code,2,4
1237,treasuries,2,10
1238,effigy,2,6
1239,results,4,7
1240,illustrated,1,11
1241,arranging,1,9
1242,stops,1,5
1243,dainty,1,6
1244,seemed,61,6
1245,concerned,2,9
1246,young,14,5
1247,send,26,4
1248,debarred,1,8
1249,tremor,3,6
1250,sent,34,4
1251,garden,10,6
1252,torture,2,7
1253,panting,2,7
1254,abduction,2,9
1255,decorating,2,10
1256,continued,22,9
1257,wipe,1,4
1258,magic,10,5
1259,marry,1,5
1260,inelegant,1,9
1261,freed,2,5
1262,rack,4,4
1263,sown,1,4
1264,crook,1,5
1265,odd,1,3
1266,business,11,8
1267,apparatus,1,9
1268,shivers,1,7
1269,expressed,1,9
1270,indian,17,6
1271,flowing,1,7
1272,bird,4,4
1273,led,5,3
1274,leg,2,3
1275,bimala,88,6
1276,poverty,4,7
1277,octave,1,6
1278,bimals,2,6
1279,physiology,1,10
1280,great,51,5
1281,engage,1,6
1282,receive,7,7
1283,unwittingly,1,11
1284,resulting,1,9
1285,defeat,11,6
1286,opinion,2,7
1287,residents,1,9
1288,makes,19,5
1289,thats,2,5
1290,sixty,1,5
1291,counsels,1,8
1292,tools,2,5
1293,standing,12,8
1294,confidence,4,10
1295,pawn,1,4
1296,next,27,4
1297,[4],1,3
1298,doubt,6,5
1299,bonds,9,5
1300,forefathers,1,11
1301,midday,1,6
1302,pencil,2,6
1303,occurred,2,8
1304,bodily,1,6
1305,finery,1,6
1306,carrying,3,8
1307,babu,78,4
1308,rubbish,1,7
1309,charity,2,7
1310,retreated,1,9
1311,this,1,4
1312,pour,4,4
1313,prompts,1,7
1314,thin,2,4
1315,scatter,1,7
1316,murmuring,1,9
1317,slid,1,4
1318,weaker,1,6
1319,bent,5,4
1320,reeds,1,5
1321,process,5,7
1322,lock,1,4
1323,slim,1,4
1324,rode,1,4
1325,pieces,5,6
1326,high,8,4
1327,nears,1,5
1328,bend,1,4
1329,slip,7,4
1330,martyr,1,6
1331,trumpet,1,7
1332,destroying,3,10
1333,wares,1,5
1334,struggling,5,10
1335,delay,5,5
1336,procured,1,8
1337,animal,3,6
1338,clasping,1,8
1339,durga,4,5
1340,overridden,1,10
1341,await,1,5
1342,tied,8,4
1343,halted,1,6
1344,preferring,1,10
1345,ties,5,4
1346,realized,10,8
1347,counter,1,7
1348,element,2,7
1349,allow,16,5
1350,alloy,1,5
1351,mute,2,4
1352,move,12,4
1353,produced,3,8
1354,perfect,5,7
1355,decay,1,5
1356,chosen,3,6
1357,strewed,1,7
1358,meantime,3,8
1359,thieves,2,7
1360,hobby,1,5
1361,python,1,6
1362,snaky,1,5
1363,snake,6,5
1364,kiss,2,4
1365,cage,6,4
1366,realize,23,7
1367,traced,2,6
1368,whither,2,7
1369,truth,72,5
1370,accompanied,1,11
1371,beneath,5,7
1372,glasses,1,7
1373,society,7,7
1374,books,10,5
1375,irritation,1,10
1376,jagged,1,6
1377,agriculture,1,11
1378,wander,1,6
1379,witness,9,7
1380,house,59,5
1381,nowadays,6,8
1382,dismissal,1,9
1383,favours,1,7
1384,shut,12,4
1385,perish,2,6
1386,incalculable,1,12
1387,greedy,6,6
1388,surely,4,6
1389,collection,1,10
1390,tempt,1,5
1391,thrust,5,6
1392,indra,1,5
1393,hindus,1,6
1394,length,11,6
1395,staggered,1,9
1396,blown,2,5
1397,scene,4,5
1398,straining,3,9
1399,carousals,1,9
1400,waterspout,1,10
1401,scent,2,5
1402,buoyed,1,6
1403,scamping,1,8
1404,festival,1,8
1405,traveller,1,9
1406,system,1,6
1407,bauhinia,1,8
1408,decorations,1,11
